time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002389,0.0025,0.0017,-0.1265,0.127
0.003971,0.0026,0.0018,-0.1306,0.131
0.014224,0.0026,0.0019,-0.1342,0.134
0.032511,0.0026,0.0020,-0.1372,0.137
0.034522,0.0026,0.0022,-0.1396,0.140
0.044528,0.0026,0.0023,-0.1413,0.141
0.066431,0.0026,0.0023,-0.1427,0.143
0.067095,0.0025,0.0024,-0.1436,0.144
0.075106,0.0025,0.0025,-0.1443,0.144
0.085045,0.0025,0.0025,-0.1451,0.145
0.095219,0.0025,0.0026,-0.1459,0.146
0.106013,0.0025,0.0026,-0.1468,0.147
0.115513,0.0025,0.0027,-0.1478,0.148
0.125550,0.0025,0.0027,-0.1488,0.149
0.135987,0.0025,0.0028,-0.1499,0.150
0.148540,0.0025,0.0028,-0.1510,0.151
0.156157,0.0025,0.0028,-0.1521,0.152
0.166079,0.0025,0.0028,-0.1531,0.153
0.176226,0.0025,0.0028,-0.1541,0.154
0.186569,0.0025,0.0028,-0.1551,0.155
0.196615,0.0025,0.0027,-0.1560,0.156
0.206726,0.0025,0.0027,-0.1569,0.157
0.216893,0.0025,0.0027,-0.1578,0.158
0.226916,0.0025,0.0026,-0.1589,0.159
0.237404,0.0025,0.0026,-0.1602,0.160
0.249074,0.0025,0.0025,-0.1617,0.162
0.257669,0.0025,0.0025,-0.1633,0.163
0.267413,0.0026,0.0025,-0.1652,0.165
0.277577,0.0026,0.0024,-0.1671,0.167
0.288925,0.0026,0.0024,-0.1690,0.169
0.297841,0.0027,0.0024,-0.1709,0.171
0.308043,0.0027,0.0024,-0.1728,0.173
0.318318,0.0027,0.0024,-0.1748,0.175
0.328211,0.0028,0.0024,-0.1766,0.177
0.348397,0.0028,0.0024,-0.1783,0.178
0.349338,0.0028,0.0024,-0.1800,0.180
0.358604,0.0029,0.0024,-0.1815,0.182
0.369106,0.0029,0.0024,-0.1831,0.183
0.378858,0.0029,0.0024,-0.1846,0.185
0.389119,0.0030,0.0024,-0.1862,0.186
0.399248,0.0030,0.0024,-0.1878,0.188
0.409322,0.0030,0.0025,-0.1894,0.189
0.419667,0.0030,0.0025,-0.1910,0.191
0.429543,0.0030,0.0025,-0.1925,0.193
0.449047,0.0030,0.0025,-0.1938,0.194
0.449957,0.0031,0.0025,-0.1951,0.195
0.459908,0.0031,0.0026,-0.1962,0.196
0.470342,0.0031,0.0026,-0.1972,0.197
0.480196,0.0031,0.0026,-0.1982,0.198
