time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002174,0.0097,0.3515,0.0590,0.357
0.009951,0.0098,0.3476,0.0578,0.352
0.019962,0.0101,0.3440,0.0567,0.349
0.032827,0.0103,0.3408,0.0557,0.346
0.040262,0.0106,0.3382,0.0548,0.343
0.050547,0.0109,0.3363,0.0541,0.341
0.060539,0.0113,0.3349,0.0535,0.339
0.070883,0.0117,0.3342,0.0531,0.339
0.080958,0.0122,0.3340,0.0527,0.338
0.091517,0.0127,0.3341,0.0524,0.338
0.101043,0.0132,0.3345,0.0522,0.339
0.115351,0.0137,0.3349,0.0520,0.339
0.122642,0.0141,0.3352,0.0518,0.340
0.131380,0.0146,0.3355,0.0517,0.340
0.141714,0.0151,0.3356,0.0515,0.340
0.151927,0.0156,0.3357,0.0513,0.340
0.161852,0.0160,0.3359,0.0512,0.340
0.172602,0.0165,0.3363,0.0510,0.341
0.182297,0.0170,0.3369,0.0509,0.341
0.192203,0.0175,0.3378,0.0509,0.342
0.202484,0.0180,0.3390,0.0509,0.343
0.215903,0.0185,0.3404,0.0509,0.345
0.223527,0.0190,0.3421,0.0509,0.346
0.232729,0.0196,0.3439,0.0510,0.348
0.242846,0.0201,0.3460,0.0510,0.350
0.253313,0.0207,0.3482,0.0511,0.353
0.263187,0.0212,0.3504,0.0512,0.355
0.273552,0.0218,0.3527,0.0513,0.357
0.283585,0.0223,0.3549,0.0513,0.359
0.293565,0.0229,0.3571,0.0514,0.362
0.303996,0.0234,0.3594,0.0516,0.364
0.316193,0.0240,0.3616,0.0517,0.366
0.324276,0.0245,0.3639,0.0518,0.368
0.334187,0.0250,0.3661,0.0520,0.371
0.344234,0.0255,0.3682,0.0522,0.373
0.355619,0.0260,0.3702,0.0524,0.375
0.364506,0.0264,0.3720,0.0526,0.377
0.374970,0.0269,0.3735,0.0527,0.378
0.385092,0.0273,0.3747,0.0529,0.379
0.394915,0.0276,0.3755,0.0530,0.380
0.416035,0.0280,0.3760,0.0531,0.381
0.417039,0.0282,0.3761,0.0531,0.381
0.425361,0.0285,0.3759,0.0532,0.381
0.435498,0.0287,0.3754,0.0532,0.380
0.445486,0.0289,0.3746,0.0531,0.379
0.455685,0.0290,0.3737,0.0531,0.379
0.465894,0.0291,0.3726,0.0531,0.378
0.475886,0.0292,0.3716,0.0530,0.376
0.486448,0.0293,0.3705,0.0529,0.375
0.496432,0.0294,0.3694,0.0529,0.374
0.515761,0.0295,0.3683,0.0528,0.373
0.516723,0.0295,0.3673,0.0528,0.372
0.526761,0.0296,0.3663,0.0528,0.371
0.537119,0.0296,0.3655,0.0527,0.370
0.547031,0.0297,0.3649,0.0528,0.370
0.557218,0.0297,0.3644,0.0528,0.369
0.567216,0.0297,0.3641,0.0529,0.369
0.577203,0.0297,0.3640,0.0529,0.369
0.588304,0.0297,0.3641,0.0530,0.369
0.597572,0.0297,0.3644,0.0531,0.369
0.607808,0.0297,0.3648,0.0533,0.370
0.617877,0.0297,0.3654,0.0534,0.370
0.632245,0.0297,0.3661,0.0536,0.371
0.638547,0.0296,0.3669,0.0537,0.372
0.648514,0.0296,0.3677,0.0539,0.373
0.658275,0.0296,0.3685,0.0540,0.374
0.668467,0.0296,0.3692,0.0541,0.374
0.678508,0.0296,0.3700,0.0542,0.375
0.688767,0.0296,0.3707,0.0543,0.376
0.698955,0.0297,0.3714,0.0545,0.377
0.715618,0.0297,0.3720,0.0545,0.377
0.719272,0.0298,0.3726,0.0546,0.378
0.729437,0.0299,0.3731,0.0547,0.378
0.739755,0.0300,0.3734,0.0547,0.379
0.749516,0.0301,0.3735,0.0547,0.379
0.759562,0.0303,0.3734,0.0547,0.379
0.770114,0.0304,0.3731,0.0547,0.378
0.780051,0.0305,0.3724,0.0546,0.378
0.790391,0.0306,0.3716,0.0545,0.377
0.800603,0.0307,0.3704,0.0543,0.376
0.815536,0.0307,0.3690,0.0542,0.374
0.821655,0.0308,0.3673,0.0540,0.373
0.830592,0.0308,0.3654,0.0538,0.371
0.840958,0.0308,0.3634,0.0536,0.369
0.852100,0.0308,0.3612,0.0533,0.366
0.861038,0.0307,0.3589,0.0531,0.364
0.871486,0.0306,0.3566,0.0529,0.362
0.881189,0.0305,0.3541,0.0526,0.359
0.891278,0.0304,0.3516,0.0523,0.357
0.901637,0.0302,0.3491,0.0521,0.354
0.911600,0.0300,0.3465,0.0517,0.352
0.921673,0.0297,0.3439,0.0514,0.349
0.931803,0.0294,0.3412,0.0511,0.346
0.941930,0.0292,0.3386,0.0507,0.344
0.952390,0.0289,0.3361,0.0504,0.341
0.962334,0.0286,0.3337,0.0500,0.339
0.972515,0.0283,0.3315,0.0497,0.336
0.982773,0.0280,0.3295,0.0493,0.334
0.992857,0.0277,0.3278,0.0490,0.333
1.003080,0.0275,0.3262,0.0487,0.331
1.012916,0.0272,0.3249,0.0484,0.330
1.023146,0.0270,0.3239,0.0480,0.329
1.033540,0.0268,0.3230,0.0477,0.328
1.043367,0.0266,0.3222,0.0474,0.327
1.054358,0.0265,0.3216,0.0470,0.326
1.063768,0.0264,0.3210,0.0467,0.325
1.074025,0.0263,0.3205,0.0463,0.325
1.084170,0.0262,0.3201,0.0459,0.324
1.094185,0.0261,0.3198,0.0456,0.324
1.109893,0.0261,0.3195,0.0452,0.324
1.114539,0.0261,0.3193,0.0448,0.324
1.124434,0.0262,0.3192,0.0445,0.323
1.134827,0.0263,0.3191,0.0441,0.323
1.144677,0.0264,0.3190,0.0438,0.323
1.155812,0.0265,0.3188,0.0434,0.323
1.165335,0.0266,0.3185,0.0429,0.322
1.175064,0.0266,0.3179,0.0425,0.322
1.185581,0.0267,0.3170,0.0420,0.321
1.195684,0.0267,0.3155,0.0414,0.319
1.209668,0.0267,0.3135,0.0407,0.317
1.215639,0.0266,0.3109,0.0400,0.315
1.225739,0.0265,0.3076,0.0392,0.311
1.236063,0.0263,0.3035,0.0383,0.307
1.246165,0.0260,0.2988,0.0373,0.302
1.256126,0.0256,0.2934,0.0362,0.297
1.266273,0.0252,0.2874,0.0351,0.291
1.276581,0.0247,0.2809,0.0339,0.284
1.287572,0.0241,0.2739,0.0326,0.277
1.296807,0.0234,0.2664,0.0313,0.269
1.307128,0.0227,0.2585,0.0299,0.261
1.317004,0.0220,0.2501,0.0285,0.253
1.326866,0.0211,0.2412,0.0271,0.244
1.338708,0.0202,0.2318,0.0256,0.234
1.347190,0.0193,0.2217,0.0240,0.224
1.357483,0.0183,0.2110,0.0224,0.213
1.367737,0.0172,0.1998,0.0208,0.202
1.377660,0.0161,0.1879,0.0192,0.190
1.388661,0.0149,0.1755,0.0175,0.177
1.398082,0.0137,0.1628,0.0158,0.164
1.409027,0.0125,0.1497,0.0142,0.151
1.418244,0.0113,0.1364,0.0126,0.137
1.428436,0.0101,0.1231,0.0111,0.124
1.438589,0.0089,0.1098,0.0096,0.111
1.448735,0.0078,0.0964,0.0082,0.097
1.458761,0.0066,0.0831,0.0068,0.084
1.469251,0.0055,0.0697,0.0055,0.070
1.479059,0.0044,0.0561,0.0043,0.056
1.489421,0.0033,0.0423,0.0031,0.043
1.499659,0.0021,0.0280,0.0020,0.028
1.509853,0.0010,0.0132,0.0009,0.013
1.522342,-0.0002,-0.0023,-0.0001,0.002
1.529876,-0.0013,-0.0184,-0.0011,0.018
1.539940,-0.0025,-0.0351,-0.0020,0.035
1.550204,-0.0038,-0.0524,-0.0028,0.053
1.560047,-0.0050,-0.0702,-0.0036,0.071
1.571198,-0.0062,-0.0886,-0.0042,0.089
1.580652,-0.0074,-0.1075,-0.0047,0.108
1.590397,-0.0087,-0.1270,-0.0050,0.127
1.601039,-0.0099,-0.1471,-0.0053,0.148
1.610632,-0.0111,-0.1678,-0.0053,0.168
1.620894,-0.0123,-0.1890,-0.0052,0.190
1.631008,-0.0135,-0.2108,-0.0049,0.211
1.641064,-0.0147,-0.2329,-0.0043,0.233
1.651494,-0.0158,-0.2554,-0.0035,0.256
1.661585,-0.0169,-0.2782,-0.0025,0.279
1.671536,-0.0180,-0.3009,-0.0012,0.301
1.682012,-0.0190,-0.3235,0.0003,0.324
1.691765,-0.0199,-0.3456,0.0022,0.346
1.702156,-0.0207,-0.3668,0.0043,0.367
1.711993,-0.0214,-0.3869,0.0067,0.387
1.722258,-0.0219,-0.4054,0.0094,0.406
1.732286,-0.0222,-0.4222,0.0122,0.423
1.742400,-0.0224,-0.4370,0.0153,0.438
1.753562,-0.0225,-0.4497,0.0185,0.451
1.762882,-0.0223,-0.4601,0.0218,0.461
