time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002285,-0.0120,0.3501,0.0684,0.357
0.010554,-0.0120,0.3502,0.0685,0.357
0.032223,-0.0120,0.3503,0.0687,0.357
0.032889,-0.0121,0.3505,0.0688,0.357
0.040922,-0.0121,0.3506,0.0689,0.358
0.051249,-0.0121,0.3508,0.0690,0.358
0.065617,-0.0122,0.3508,0.0691,0.358
0.071707,-0.0122,0.3508,0.0692,0.358
0.081398,-0.0123,0.3508,0.0693,0.358
0.091456,-0.0123,0.3507,0.0694,0.358
0.101675,-0.0124,0.3505,0.0694,0.358
0.111726,-0.0124,0.3502,0.0694,0.357
0.123229,-0.0124,0.3498,0.0694,0.357
0.132119,-0.0125,0.3492,0.0694,0.356
0.142263,-0.0125,0.3485,0.0693,0.356
0.152747,-0.0125,0.3475,0.0692,0.355
0.165541,-0.0126,0.3464,0.0691,0.353
0.172516,-0.0126,0.3451,0.0689,0.352
0.182832,-0.0126,0.3437,0.0687,0.351
0.192796,-0.0126,0.3421,0.0685,0.349
0.203533,-0.0126,0.3406,0.0683,0.348
0.213179,-0.0126,0.3390,0.0680,0.346
0.223557,-0.0126,0.3376,0.0678,0.345
0.233561,-0.0126,0.3362,0.0675,0.343
0.243495,-0.0127,0.3349,0.0673,0.342
0.265704,-0.0127,0.3338,0.0671,0.341
0.266592,-0.0127,0.3327,0.0669,0.340
0.274157,-0.0127,0.3317,0.0667,0.339
0.284275,-0.0128,0.3309,0.0665,0.338
0.294160,-0.0128,0.3301,0.0663,0.337
0.304626,-0.0128,0.3293,0.0660,0.336
0.314511,-0.0129,0.3285,0.0658,0.335
0.324629,-0.0129,0.3278,0.0656,0.335
0.334953,-0.0129,0.3271,0.0654,0.334
0.344834,-0.0130,0.3265,0.0652,0.333
0.365423,-0.0130,0.3259,0.0650,0.333
0.366387,-0.0130,0.3254,0.0648,0.332
0.375120,-0.0131,0.3250,0.0646,0.332
0.385678,-0.0131,0.3246,0.0644,0.331
0.395455,-0.0132,0.3243,0.0643,0.331
0.405649,-0.0132,0.3241,0.0641,0.331
0.415976,-0.0133,0.3240,0.0640,0.331
0.425857,-0.0133,0.3239,0.0639,0.330
0.436208,-0.0134,0.3238,0.0637,0.330
0.446130,-0.0134,0.3238,0.0636,0.330
0.456463,-0.0135,0.3237,0.0635,0.330
0.466534,-0.0135,0.3237,0.0634,0.330
0.481938,-0.0136,0.3237,0.0633,0.330
0.488138,-0.0137,0.3238,0.0632,0.330
0.496975,-0.0137,0.3239,0.0632,0.330
0.507390,-0.0138,0.3241,0.0631,0.330
0.517256,-0.0139,0.3243,0.0630,0.331
0.527269,-0.0140,0.3246,0.0630,0.331
0.537618,-0.0141,0.3251,0.0630,0.331
0.547547,-0.0142,0.3255,0.0629,0.332
0.557496,-0.0142,0.3261,0.0629,0.332
0.568198,-0.0143,0.3267,0.0629,0.333
0.579839,-0.0144,0.3274,0.0630,0.334
0.588461,-0.0145,0.3281,0.0630,0.334
0.598483,-0.0147,0.3288,0.0631,0.335
0.608875,-0.0148,0.3296,0.0631,0.336
0.618760,-0.0149,0.3305,0.0632,0.337
0.629124,-0.0150,0.3314,0.0633,0.338
0.639905,-0.0151,0.3325,0.0634,0.339
0.649138,-0.0152,0.3336,0.0635,0.340
0.663366,-0.0153,0.3349,0.0637,0.341
0.669343,-0.0154,0.3363,0.0639,0.343
0.679468,-0.0156,0.3378,0.0641,0.344
0.689676,-0.0157,0.3394,0.0643,0.346
0.699533,-0.0158,0.3409,0.0646,0.347
0.709513,-0.0160,0.3425,0.0648,0.349
0.720644,-0.0161,0.3440,0.0650,0.350
0.729905,-0.0162,0.3454,0.0653,0.352
0.740270,-0.0164,0.3466,0.0655,0.353
0.750550,-0.0165,0.3478,0.0657,0.354
0.760197,-0.0166,0.3488,0.0659,0.355
0.781559,-0.0167,0.3497,0.0661,0.356
0.782496,-0.0169,0.3506,0.0663,0.357
0.790627,-0.0170,0.3514,0.0665,0.358
0.800920,-0.0171,0.3522,0.0666,0.359
0.811056,-0.0172,0.3530,0.0668,0.360
0.820888,-0.0174,0.3539,0.0670,0.361
0.831120,-0.0175,0.3547,0.0672,0.361
0.841214,-0.0177,0.3555,0.0674,0.362
0.851517,-0.0178,0.3563,0.0675,0.363
0.861507,-0.0179,0.3570,0.0677,0.364
0.876263,-0.0180,0.3577,0.0679,0.364
0.881718,-0.0182,0.3583,0.0680,0.365
0.892023,-0.0182,0.3588,0.0681,0.366
0.902180,-0.0183,0.3594,0.0683,0.366
0.912514,-0.0184,0.3599,0.0684,0.367
0.922476,-0.0184,0.3605,0.0685,0.367
0.932945,-0.0184,0.3611,0.0686,0.368
0.942663,-0.0184,0.3619,0.0688,0.369
0.959847,-0.0184,0.3629,0.0689,0.370
0.962750,-0.0184,0.3639,0.0691,0.371
0.973478,-0.0183,0.3650,0.0693,0.372
0.983394,-0.0182,0.3660,0.0694,0.373
0.993426,-0.0181,0.3670,0.0696,0.374
1.004201,-0.0180,0.3678,0.0697,0.375
1.013767,-0.0179,0.3683,0.0697,0.375
1.023819,-0.0177,0.3686,0.0698,0.376
1.034170,-0.0175,0.3686,0.0697,0.376
1.043928,-0.0173,0.3683,0.0697,0.375
