time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002387,0.0215,0.2790,0.0720,0.289
0.005822,0.0210,0.2783,0.0715,0.288
0.017950,0.0205,0.2779,0.0710,0.288
0.025250,0.0200,0.2779,0.0707,0.287
0.035806,0.0196,0.2784,0.0704,0.288
0.045473,0.0192,0.2793,0.0703,0.289
0.055669,0.0188,0.2808,0.0703,0.290
0.066415,0.0185,0.2827,0.0705,0.292
0.075925,0.0182,0.2853,0.0707,0.294
0.085930,0.0180,0.2883,0.0711,0.297
0.096230,0.0178,0.2917,0.0715,0.301
0.108040,0.0176,0.2953,0.0720,0.304
0.116554,0.0174,0.2988,0.0724,0.308
0.126412,0.0172,0.3022,0.0727,0.311
0.136880,0.0171,0.3052,0.0730,0.314
0.146856,0.0169,0.3079,0.0731,0.317
0.156924,0.0167,0.3102,0.0732,0.319
0.166980,0.0165,0.3123,0.0732,0.321
0.177165,0.0164,0.3142,0.0732,0.323
0.191750,0.0162,0.3162,0.0732,0.325
0.198788,0.0161,0.3181,0.0732,0.327
0.207784,0.0160,0.3202,0.0731,0.329
0.217986,0.0159,0.3224,0.0731,0.331
0.228137,0.0158,0.3246,0.0732,0.333
0.237995,0.0157,0.3269,0.0732,0.335
0.248806,0.0156,0.3290,0.0731,0.337
0.258231,0.0154,0.3307,0.0730,0.339
0.268454,0.0153,0.3319,0.0728,0.340
0.278742,0.0151,0.3325,0.0725,0.341
0.292650,0.0149,0.3324,0.0720,0.340
0.298713,0.0147,0.3316,0.0715,0.340
0.308928,0.0145,0.3303,0.0709,0.338
0.319027,0.0142,0.3286,0.0702,0.336
0.329253,0.0139,0.3268,0.0696,0.334
0.339259,0.0136,0.3252,0.0690,0.333
0.349494,0.0133,0.3240,0.0685,0.331
0.359645,0.0131,0.3233,0.0682,0.331
0.369676,0.0129,0.3232,0.0680,0.331
0.379992,0.0127,0.3238,0.0679,0.331
0.392142,0.0125,0.3249,0.0680,0.332
0.400376,0.0123,0.3266,0.0683,0.334
0.410276,0.0121,0.3287,0.0686,0.336
0.420334,0.0120,0.3309,0.0690,0.338
0.431674,0.0119,0.3331,0.0694,0.340
0.440686,0.0117,0.3352,0.0698,0.343
0.451595,0.0116,0.3369,0.0702,0.344
0.460966,0.0114,0.3382,0.0705,0.346
0.470985,0.0113,0.3392,0.0708,0.347
0.491947,0.0111,0.3397,0.0710,0.347
0.492802,0.0110,0.3399,0.0712,0.347
0.501555,0.0108,0.3396,0.0713,0.347
0.511587,0.0106,0.3390,0.0714,0.347
0.521655,0.0104,0.3381,0.0714,0.346
0.531938,0.0103,0.3371,0.0714,0.345
0.541999,0.0101,0.3360,0.0713,0.344
0.552002,0.0099,0.3349,0.0713,0.343
0.562539,0.0098,0.3339,0.0713,0.342
0.572317,0.0097,0.3331,0.0714,0.341
0.591825,0.0096,0.3323,0.0714,0.340
0.592590,0.0095,0.3317,0.0715,0.339
0.602683,0.0094,0.3312,0.0716,0.339
0.612937,0.0093,0.3308,0.0716,0.339
0.623093,0.0093,0.3304,0.0717,0.338
0.633445,0.0092,0.3300,0.0717,0.338
0.643386,0.0092,0.3296,0.0718,0.337
0.653324,0.0092,0.3291,0.0717,0.337
0.664658,0.0092,0.3286,0.0717,0.336
0.673817,0.0092,0.3280,0.0716,0.336
0.684027,0.0092,0.3274,0.0715,0.335
0.694054,0.0093,0.3268,0.0713,0.335
0.708755,0.0093,0.3261,0.0711,0.334
0.714783,0.0094,0.3253,0.0710,0.333
0.724429,0.0095,0.3246,0.0708,0.332
0.734456,0.0096,0.3239,0.0705,0.332
0.744669,0.0097,0.3231,0.0703,0.331
0.754721,0.0098,0.3222,0.0700,0.330
0.764917,0.0100,0.3213,0.0697,0.329
0.774925,0.0101,0.3203,0.0694,0.328
0.785060,0.0103,0.3193,0.0691,0.327
0.795455,0.0104,0.3183,0.0688,0.326
0.808612,0.0106,0.3173,0.0685,0.325
0.815556,0.0108,0.3165,0.0682,0.324
0.825627,0.0110,0.3158,0.0679,0.323
0.835779,0.0111,0.3153,0.0676,0.323
0.845981,0.0113,0.3150,0.0674,0.322
0.856134,0.0115,0.3150,0.0673,0.322
0.866466,0.0117,0.3151,0.0671,0.322
0.876550,0.0118,0.3154,0.0670,0.323
0.886877,0.0120,0.3158,0.0669,0.323
0.897636,0.0121,0.3162,0.0668,0.323
0.906657,0.0122,0.3168,0.0668,0.324
0.917070,0.0122,0.3175,0.0667,0.325
0.927187,0.0122,0.3183,0.0666,0.325
0.937052,0.0122,0.3193,0.0666,0.326
0.947744,0.0122,0.3206,0.0666,0.328
0.957408,0.0121,0.3222,0.0666,0.329
0.967477,0.0120,0.3242,0.0667,0.331
0.978273,0.0119,0.3265,0.0668,0.334
0.988035,0.0118,0.3293,0.0670,0.336
0.999430,0.0116,0.3324,0.0672,0.339
1.008221,0.0114,0.3359,0.0674,0.343
1.018619,0.0111,0.3395,0.0676,0.346
1.028721,0.0108,0.3431,0.0678,0.350
1.038408,0.0105,0.3466,0.0680,0.353
1.049062,0.0102,0.3500,0.0681,0.357
1.058996,0.0099,0.3530,0.0681,0.360
1.068870,0.0095,0.3557,0.0680,0.362
1.079202,0.0092,0.3581,0.0679,0.365
1.089036,0.0088,0.3600,0.0677,0.366
1.099224,0.0085,0.3617,0.0674,0.368
1.109500,0.0082,0.3630,0.0671,0.369
1.119461,0.0080,0.3641,0.0667,0.370
1.130687,0.0077,0.3648,0.0663,0.371
1.139796,0.0075,0.3652,0.0658,0.371
1.150106,0.0073,0.3653,0.0653,0.371
1.160322,0.0072,0.3650,0.0647,0.371
1.170287,0.0070,0.3643,0.0641,0.370
1.186212,0.0068,0.3630,0.0634,0.369
1.190383,0.0067,0.3612,0.0626,0.367
1.200723,0.0066,0.3589,0.0618,0.364
1.210887,0.0064,0.3563,0.0610,0.362
1.220826,0.0063,0.3533,0.0602,0.358
1.230856,0.0061,0.3502,0.0593,0.355
1.241046,0.0060,0.3470,0.0585,0.352
1.251162,0.0058,0.3439,0.0577,0.349
1.261558,0.0056,0.3409,0.0570,0.346
1.271677,0.0054,0.3380,0.0563,0.343
1.286007,0.0052,0.3352,0.0557,0.340
1.291724,0.0049,0.3324,0.0551,0.337
1.301882,0.0046,0.3296,0.0546,0.334
1.312273,0.0043,0.3268,0.0540,0.331
1.322409,0.0040,0.3237,0.0534,0.328
1.332540,0.0036,0.3204,0.0528,0.325
1.342727,0.0032,0.3169,0.0522,0.321
1.352557,0.0028,0.3133,0.0517,0.318
1.363911,0.0024,0.3096,0.0511,0.314
1.372850,0.0020,0.3061,0.0505,0.310
1.383185,0.0016,0.3029,0.0501,0.307
1.393363,0.0012,0.3000,0.0497,0.304
1.403203,0.0009,0.2977,0.0494,0.302
1.415237,0.0006,0.2961,0.0492,0.300
1.423546,0.0003,0.2953,0.0492,0.299
1.433549,-0.0000,0.2952,0.0493,0.299
1.444095,-0.0002,0.2959,0.0496,0.300
1.453862,-0.0004,0.2972,0.0500,0.301
1.463866,-0.0006,0.2991,0.0505,0.303
1.474254,-0.0007,0.3014,0.0511,0.306
1.484208,-0.0007,0.3040,0.0517,0.308
1.494466,-0.0007,0.3068,0.0524,0.311
1.504637,-0.0007,0.3095,0.0531,0.314
1.515300,-0.0006,0.3122,0.0538,0.317
1.525121,-0.0004,0.3149,0.0546,0.320
1.534919,-0.0002,0.3174,0.0553,0.322
1.545387,0.0000,0.3197,0.0560,0.325
1.555383,0.0003,0.3219,0.0567,0.327
1.565686,0.0006,0.3238,0.0575,0.329
1.575791,0.0008,0.3254,0.0581,0.331
1.585847,0.0011,0.3267,0.0588,0.332
1.602622,0.0014,0.3277,0.0594,0.333
1.605771,0.0016,0.3282,0.0600,0.334
1.616109,0.0018,0.3283,0.0604,0.334
1.626393,0.0020,0.3277,0.0608,0.333
1.636193,0.0021,0.3267,0.0611,0.332
1.646833,0.0022,0.3252,0.0614,0.331
1.656598,0.0022,0.3233,0.0616,0.329
1.666558,0.0022,0.3212,0.0617,0.327
1.676980,0.0022,0.3191,0.0618,0.325
1.686880,0.0021,0.3170,0.0620,0.323
1.702210,0.0021,0.3151,0.0622,0.321
1.707145,0.0019,0.3135,0.0624,0.320
1.717451,0.0018,0.3122,0.0627,0.318
1.727579,0.0017,0.3112,0.0631,0.318
1.737531,0.0015,0.3105,0.0635,0.317
1.747739,0.0014,0.3101,0.0639,0.317
1.758072,0.0012,0.3100,0.0645,0.317
1.767919,0.0011,0.3103,0.0651,0.317
1.778476,0.0010,0.3111,0.0657,0.318
1.788314,0.0009,0.3123,0.0665,0.319
1.802050,0.0008,0.3142,0.0674,0.321
1.808524,0.0008,0.3170,0.0685,0.324
1.818595,0.0008,0.3207,0.0698,0.328
1.829799,0.0008,0.3254,0.0712,0.333
1.838811,0.0008,0.3312,0.0729,0.339
1.849238,0.0009,0.3378,0.0747,0.346
1.859442,0.0010,0.3454,0.0767,0.354
1.869299,0.0010,0.3537,0.0789,0.362
1.885441,0.0011,0.3628,0.0811,0.372
1.889487,0.0012,0.3724,0.0833,0.382
1.899628,0.0012,0.3826,0.0856,0.392
1.910061,0.0013,0.3932,0.0879,0.403
1.919891,0.0013,0.4043,0.0901,0.414
1.929963,0.0013,0.4157,0.0923,0.426
1.940139,0.0013,0.4274,0.0945,0.438
1.950311,0.0013,0.4393,0.0965,0.450
1.960684,0.0013,0.4512,0.0985,0.462
1.970912,0.0013,0.4629,0.1002,0.474
1.985443,0.0013,0.4742,0.1016,0.485
