time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002570,0.0113,0.3828,0.0502,0.386
0.011808,0.0114,0.3824,0.0504,0.386
0.031287,0.0114,0.3819,0.0506,0.385
0.031981,0.0115,0.3815,0.0509,0.385
0.042163,0.0116,0.3811,0.0511,0.385
0.052347,0.0117,0.3807,0.0514,0.384
0.062301,0.0119,0.3804,0.0516,0.384
0.072537,0.0120,0.3802,0.0519,0.384
0.082647,0.0121,0.3801,0.0521,0.384
0.092702,0.0122,0.3801,0.0524,0.384
0.104138,0.0123,0.3804,0.0527,0.384
0.113089,0.0124,0.3808,0.0530,0.385
0.130777,0.0125,0.3813,0.0533,0.385
0.133299,0.0126,0.3819,0.0537,0.386
0.143392,0.0127,0.3826,0.0540,0.387
0.154036,0.0128,0.3833,0.0544,0.387
0.163663,0.0129,0.3840,0.0547,0.388
0.173808,0.0130,0.3846,0.0550,0.389
0.184088,0.0131,0.3851,0.0553,0.389
0.194060,0.0133,0.3856,0.0555,0.390
0.214445,0.0135,0.3859,0.0557,0.390
0.215283,0.0137,0.3862,0.0559,0.390
0.224430,0.0140,0.3865,0.0561,0.391
0.234901,0.0142,0.3868,0.0562,0.391
0.244709,0.0145,0.3871,0.0564,0.391
0.254945,0.0148,0.3873,0.0565,0.392
0.265057,0.0151,0.3875,0.0565,0.392
0.275155,0.0155,0.3876,0.0566,0.392
0.285493,0.0158,0.3877,0.0566,0.392
0.295373,0.0161,0.3876,0.0566,0.392
0.314447,0.0165,0.3873,0.0566,0.392
0.315611,0.0168,0.3868,0.0565,0.391
0.325755,0.0171,0.3862,0.0564,0.391
0.336967,0.0175,0.3855,0.0562,0.390
0.346215,0.0178,0.3847,0.0560,0.389
0.356424,0.0181,0.3839,0.0559,0.388
0.366414,0.0184,0.3831,0.0556,0.388
0.376423,0.0187,0.3822,0.0554,0.387
0.386707,0.0190,0.3812,0.0552,0.386
0.396725,0.0192,0.3801,0.0549,0.385
0.406800,0.0194,0.3787,0.0546,0.383
0.417061,0.0195,0.3768,0.0541,0.381
0.430845,0.0195,0.3743,0.0536,0.379
0.437248,0.0194,0.3711,0.0530,0.375
0.447464,0.0192,0.3672,0.0523,0.371
0.457484,0.0189,0.3626,0.0515,0.367
0.467842,0.0185,0.3572,0.0505,0.361
0.477804,0.0180,0.3515,0.0495,0.355
0.488178,0.0175,0.3456,0.0485,0.349
0.498127,0.0169,0.3398,0.0475,0.343
0.508133,0.0164,0.3344,0.0465,0.338
0.518400,0.0158,0.3298,0.0456,0.333
0.530926,0.0152,0.3263,0.0448,0.330
0.538805,0.0147,0.3239,0.0442,0.327
0.548703,0.0143,0.3227,0.0437,0.326
0.558776,0.0139,0.3227,0.0434,0.326
0.569801,0.0135,0.3238,0.0432,0.327
0.579071,0.0132,0.3258,0.0432,0.329
0.589319,0.0129,0.3287,0.0433,0.332
0.599502,0.0126,0.3321,0.0434,0.335
0.609435,0.0124,0.3360,0.0437,0.339
0.631537,0.0121,0.3402,0.0440,0.343
0.632436,0.0119,0.3447,0.0444,0.348
0.639935,0.0116,0.3495,0.0448,0.353
0.650146,0.0114,0.3546,0.0453,0.358
0.660149,0.0112,0.3598,0.0458,0.363
0.670316,0.0110,0.3649,0.0464,0.368
0.680370,0.0108,0.3699,0.0469,0.373
0.690498,0.0105,0.3744,0.0474,0.378
0.700922,0.0102,0.3783,0.0478,0.381
0.710822,0.0099,0.3814,0.0482,0.385
0.730691,0.0095,0.3834,0.0484,0.387
0.731713,0.0090,0.3842,0.0485,0.387
0.741123,0.0084,0.3838,0.0485,0.387
0.751485,0.0078,0.3822,0.0483,0.385
0.761466,0.0071,0.3796,0.0480,0.383
0.771850,0.0063,0.3761,0.0476,0.379
0.781797,0.0055,0.3722,0.0471,0.375
0.791763,0.0047,0.3680,0.0465,0.371
0.803007,0.0038,0.3640,0.0460,0.367
0.812245,0.0030,0.3603,0.0455,0.363
0.822325,0.0021,0.3572,0.0450,0.360
0.832378,0.0013,0.3548,0.0446,0.358
0.846738,0.0005,0.3532,0.0443,0.356
0.852702,-0.0004,0.3524,0.0440,0.355
0.863068,-0.0012,0.3522,0.0439,0.355
0.873152,-0.0019,0.3527,0.0438,0.355
0.883485,-0.0027,0.3535,0.0438,0.356
0.893473,-0.0035,0.3547,0.0439,0.357
0.903479,-0.0042,0.3560,0.0439,0.359
0.913448,-0.0048,0.3576,0.0441,0.360
0.924822,-0.0055,0.3598,0.0443,0.363
0.933720,-0.0061,0.3629,0.0447,0.366
0.943837,-0.0066,0.3671,0.0452,0.370
0.953880,-0.0071,0.3727,0.0459,0.376
0.964243,-0.0076,0.3797,0.0467,0.383
0.974140,-0.0080,0.3880,0.0477,0.391
0.984687,-0.0083,0.3973,0.0488,0.400
0.994504,-0.0086,0.4074,0.0500,0.411
1.004613,-0.0088,0.4178,0.0512,0.421
1.014790,-0.0090,0.4280,0.0523,0.431
1.025277,-0.0090,0.4374,0.0532,0.441
1.036210,-0.0091,0.4453,0.0540,0.449
1.045103,-0.0090,0.4512,0.0545,0.455
1.055640,-0.0089,0.4548,0.0547,0.458
1.065543,-0.0088,0.4560,0.0546,0.459
1.075578,-0.0086,0.4549,0.0542,0.458
1.085910,-0.0084,0.4520,0.0535,0.455
1.096125,-0.0081,0.4477,0.0526,0.451
1.105964,-0.0079,0.4427,0.0515,0.446
1.116296,-0.0076,0.4371,0.0503,0.440
1.126092,-0.0073,0.4312,0.0489,0.434
1.136495,-0.0070,0.4254,0.0475,0.428
1.146410,-0.0068,0.4195,0.0460,0.422
1.156568,-0.0066,0.4139,0.0445,0.416
1.167067,-0.0064,0.4087,0.0430,0.411
1.176857,-0.0062,0.4042,0.0416,0.406
1.187122,-0.0061,0.4006,0.0403,0.403
1.197312,-0.0060,0.3980,0.0391,0.400
1.207218,-0.0060,0.3967,0.0380,0.399
1.217597,-0.0059,0.3969,0.0372,0.399
1.227400,-0.0059,0.3988,0.0365,0.401
1.237770,-0.0058,0.4027,0.0360,0.404
1.248025,-0.0058,0.4086,0.0357,0.410
1.257866,-0.0057,0.4164,0.0356,0.418
1.268978,-0.0056,0.4260,0.0357,0.428
1.278314,-0.0055,0.4370,0.0359,0.438
1.288519,-0.0053,0.4488,0.0363,0.450
1.298769,-0.0051,0.4610,0.0367,0.462
1.308548,-0.0049,0.4729,0.0372,0.474
1.324535,-0.0046,0.4842,0.0377,0.486
1.328804,-0.0043,0.4942,0.0383,0.496
1.339047,-0.0040,0.5024,0.0388,0.504
1.349395,-0.0036,0.5085,0.0393,0.510
1.359234,-0.0033,0.5121,0.0397,0.514
1.369381,-0.0030,0.5132,0.0400,0.515
1.379479,-0.0026,0.5115,0.0402,0.513
1.389602,-0.0023,0.5072,0.0401,0.509
1.399986,-0.0019,0.5004,0.0399,0.502
1.409984,-0.0015,0.4912,0.0395,0.493
1.424518,-0.0012,0.4795,0.0389,0.481
1.430092,-0.0008,0.4653,0.0380,0.467
1.440448,-0.0005,0.4484,0.0368,0.450
1.450865,-0.0002,0.4290,0.0354,0.430
1.460528,0.0000,0.4071,0.0338,0.409
1.470740,0.0002,0.3830,0.0319,0.384
1.481085,0.0003,0.3569,0.0298,0.358
1.491098,0.0005,0.3289,0.0275,0.330
1.501927,0.0006,0.2991,0.0251,0.300
1.511274,0.0006,0.2677,0.0225,0.269
1.521539,0.0007,0.2349,0.0198,0.236
1.531717,0.0007,0.2011,0.0169,0.202
1.541578,0.0006,0.1667,0.0141,0.167
1.551933,0.0006,0.1321,0.0112,0.133
1.561873,0.0005,0.0974,0.0082,0.098
1.572236,0.0004,0.0627,0.0053,0.063
1.582377,0.0002,0.0282,0.0024,0.028
1.592275,-0.0000,-0.0062,-0.0005,0.006
1.602370,-0.0003,-0.0406,-0.0035,0.041
1.612800,-0.0006,-0.0748,-0.0065,0.075
1.624077,-0.0010,-0.1084,-0.0095,0.109
1.632797,-0.0013,-0.1409,-0.0125,0.141
1.642995,-0.0017,-0.1722,-0.0154,0.173
1.653080,-0.0020,-0.2017,-0.0183,0.203
1.663323,-0.0024,-0.2294,-0.0212,0.230
1.673317,-0.0027,-0.2552,-0.0240,0.256
1.683757,-0.0031,-0.2791,-0.0268,0.280
1.693643,-0.0035,-0.3010,-0.0295,0.302
1.703991,-0.0039,-0.3209,-0.0320,0.322
1.713855,-0.0043,-0.3388,-0.0345,0.341
1.724281,-0.0047,-0.3552,-0.0368,0.357
1.734780,-0.0051,-0.3700,-0.0391,0.372
1.744488,-0.0055,-0.3833,-0.0412,0.386
1.754686,-0.0058,-0.3953,-0.0432,0.398
1.764723,-0.0062,-0.4057,-0.0449,0.408
1.774665,-0.0065,-0.4145,-0.0465,0.417
1.785066,-0.0068,-0.4216,-0.0478,0.424
1.795002,-0.0071,-0.4265,-0.0488,0.429
1.805016,-0.0073,-0.4288,-0.0494,0.432
1.815559,-0.0074,-0.4276,-0.0495,0.431
1.825203,-0.0074,-0.4222,-0.0489,0.425
1.835432,-0.0073,-0.4120,-0.0477,0.415
1.845523,-0.0070,-0.3967,-0.0457,0.399
1.855700,-0.0066,-0.3762,-0.0431,0.379
1.866107,-0.0061,-0.3503,-0.0398,0.353
1.875966,-0.0054,-0.3189,-0.0359,0.321
1.886381,-0.0046,-0.2819,-0.0315,0.284
1.896507,-0.0037,-0.2392,-0.0264,0.241
1.906424,-0.0028,-0.1910,-0.0209,0.192
1.916681,-0.0018,-0.1378,-0.0149,0.139
1.926733,-0.0010,-0.0802,-0.0086,0.081
1.936890,-0.0002,-0.0187,-0.0020,0.019
1.947169,0.0004,0.0460,0.0048,0.046
1.956970,0.0009,0.1135,0.0118,0.114
1.968197,0.0012,0.1829,0.0188,0.184
1.977492,0.0013,0.2537,0.0260,0.255
1.987681,0.0012,0.3250,0.0331,0.327
1.997632,0.0009,0.3962,0.0402,0.398
2.007798,0.0004,0.4660,0.0472,0.468
2.023781,-0.0002,0.5332,0.0539,0.536
2.028073,-0.0009,0.5968,0.0603,0.600
2.038149,-0.0017,0.6560,0.0663,0.659
2.048538,-0.0025,0.7104,0.0718,0.714
2.058508,-0.0034,0.7601,0.0769,0.764
2.068521,-0.0043,0.8050,0.0815,0.809
2.078817,-0.0053,0.8451,0.0855,0.849
2.088678,-0.0061,0.8803,0.0890,0.885
2.099149,-0.0069,0.9103,0.0918,0.915
2.109227,-0.0076,0.9353,0.0940,0.940
2.123749,-0.0083,0.9553,0.0955,0.960
2.129344,-0.0088,0.9705,0.0964,0.975
2.139413,-0.0094,0.9811,0.0967,0.986
2.149863,-0.0099,0.9869,0.0964,0.992
2.159998,-0.0103,0.9880,0.0956,0.993
2.169949,-0.0108,0.9845,0.0942,0.989
2.180305,-0.0113,0.9770,0.0923,0.981
2.190366,-0.0119,0.9656,0.0901,0.970
2.201189,-0.0125,0.9510,0.0875,0.955
2.210388,-0.0132,0.9336,0.0847,0.937
2.220715,-0.0139,0.9138,0.0817,0.918
2.230868,-0.0146,0.8921,0.0787,0.896
2.240921,-0.0154,0.8685,0.0755,0.872
2.251001,-0.0160,0.8431,0.0723,0.846
2.261093,-0.0166,0.8158,0.0691,0.819
2.271149,-0.0171,0.7864,0.0658,0.789
2.281643,-0.0175,0.7549,0.0625,0.758
2.291446,-0.0177,0.7212,0.0592,0.724
2.302322,-0.0177,0.6854,0.0558,0.688
2.311814,-0.0176,0.6472,0.0525,0.650
2.323688,-0.0172,0.6062,0.0490,0.608
2.331904,-0.0167,0.5619,0.0454,0.564
2.342055,-0.0158,0.5145,0.0417,0.516
2.352292,-0.0148,0.4638,0.0377,0.466
2.362531,-0.0134,0.4100,0.0336,0.412
2.372464,-0.0119,0.3534,0.0292,0.355
2.383166,-0.0101,0.2941,0.0246,0.295
2.392780,-0.0081,0.2320,0.0196,0.233
2.403150,-0.0059,0.1675,0.0144,0.168
2.413196,-0.0036,0.1012,0.0088,0.102
2.423027,-0.0012,0.0340,0.0030,0.034
2.433900,0.0012,-0.0330,-0.0029,0.033
2.443430,0.0035,-0.0987,-0.0089,0.099
2.453563,0.0057,-0.1621,-0.0147,0.163
2.463796,0.0079,-0.2225,-0.0203,0.224
2.473777,0.0099,-0.2793,-0.0256,0.281
2.484223,0.0117,-0.3319,-0.0305,0.334
2.494068,0.0134,-0.3797,-0.0350,0.381
2.504285,0.0149,-0.4215,-0.0389,0.424
2.514332,0.0161,-0.4560,-0.0421,0.458
2.524386,0.0170,-0.4816,-0.0445,0.484
2.534608,0.0176,-0.4970,-0.0460,0.499
2.544770,0.0178,-0.5016,-0.0464,0.504
2.554804,0.0175,-0.4950,-0.0459,0.497
2.565209,0.0169,-0.4774,-0.0443,0.480
2.575101,0.0158,-0.4489,-0.0416,0.451
2.585204,0.0144,-0.4099,-0.0381,0.412
2.595594,0.0127,-0.3609,-0.0336,0.363
2.605519,0.0106,-0.3025,-0.0282,0.304
2.615977,0.0083,-0.2361,-0.0221,0.237
2.625894,0.0058,-0.1633,-0.0154,0.164
2.636080,0.0030,-0.0859,-0.0081,0.086
2.646240,0.0002,-0.0052,-0.0005,0.005
2.656131,-0.0028,0.0776,0.0075,0.078
2.667390,-0.0057,0.1616,0.0159,0.162
2.676623,-0.0086,0.2460,0.0245,0.247
2.686674,-0.0114,0.3301,0.0334,0.332
2.696831,-0.0140,0.4126,0.0423,0.415
2.706969,-0.0164,0.4925,0.0512,0.495
2.722816,-0.0185,0.5684,0.0598,0.572
2.727079,-0.0202,0.6391,0.0680,0.643
2.737146,-0.0217,0.7038,0.0756,0.708
2.747728,-0.0228,0.7621,0.0825,0.767
2.757446,-0.0236,0.8138,0.0886,0.819
2.767605,-0.0242,0.8589,0.0940,0.864
2.777783,-0.0245,0.8974,0.0986,0.903
2.787862,-0.0245,0.9294,0.1025,0.935
2.798218,-0.0242,0.9552,0.1056,0.961
2.808352,-0.0237,0.9753,0.1080,0.982
2.823100,-0.0229,0.9899,0.1098,0.996
2.828669,-0.0219,0.9994,0.1109,1.006
2.838652,-0.0207,1.0043,0.1114,1.011
2.848949,-0.0192,1.0047,0.1113,1.011
2.859122,-0.0176,1.0009,0.1107,1.007
2.869130,-0.0158,0.9933,0.1096,0.999
2.879433,-0.0140,0.9822,0.1080,0.988
2.889266,-0.0121,0.9681,0.1060,0.974
2.900106,-0.0102,0.9516,0.1037,0.957
2.909740,-0.0084,0.9330,0.1011,0.939
2.919801,-0.0065,0.9128,0.0984,0.918
2.929915,-0.0047,0.8913,0.0956,0.896
2.939890,-0.0029,0.8685,0.0927,0.873
2.950003,-0.0011,0.8444,0.0899,0.849
2.960484,0.0006,0.8189,0.0870,0.823
2.970527,0.0022,0.7917,0.0840,0.796
2.980496,0.0038,0.7630,0.0810,0.767
2.990457,0.0051,0.7326,0.0779,0.737
3.001369,0.0064,0.7006,0.0747,0.705
3.010939,0.0074,0.6669,0.0713,0.671
3.020870,0.0082,0.6314,0.0678,0.635
3.031473,0.0088,0.5942,0.0641,0.598
3.041176,0.0091,0.5556,0.0602,0.559
3.051420,0.0092,0.5160,0.0562,0.519
3.061677,0.0091,0.4758,0.0520,0.479
3.071467,0.0088,0.4352,0.0477,0.438
3.081788,0.0083,0.3943,0.0433,0.397
3.091804,0.0078,0.3531,0.0388,0.355
3.102037,0.0071,0.3118,0.0343,0.314
3.112302,0.0063,0.2708,0.0298,0.272
3.122138,0.0055,0.2305,0.0254,0.232
3.138858,0.0046,0.1916,0.0210,0.193
3.142317,0.0037,0.1549,0.0170,0.156
3.152475,0.0029,0.1211,0.0132,0.122
3.162874,0.0021,0.0908,0.0098,0.091
3.172838,0.0015,0.0647,0.0070,0.065
3.183505,0.0010,0.0432,0.0046,0.043
3.193089,0.0006,0.0268,0.0028,0.027
3.203172,0.0003,0.0159,0.0017,0.016
3.213457,0.0002,0.0110,0.0011,0.011
