time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002569,0.0375,0.4093,0.0340,0.412
0.006717,0.0364,0.4025,0.0333,0.406
0.017284,0.0353,0.3959,0.0327,0.399
0.027054,0.0343,0.3896,0.0321,0.392
0.047875,0.0334,0.3834,0.0315,0.386
0.048536,0.0325,0.3774,0.0310,0.380
0.057682,0.0317,0.3714,0.0304,0.374
0.067711,0.0310,0.3655,0.0299,0.368
0.078158,0.0303,0.3598,0.0294,0.362
0.089258,0.0297,0.3541,0.0289,0.357
0.098294,0.0292,0.3487,0.0284,0.351
0.108395,0.0287,0.3437,0.0280,0.346
0.118337,0.0284,0.3392,0.0276,0.342
0.128758,0.0281,0.3355,0.0274,0.338
0.146731,0.0279,0.3325,0.0272,0.335
0.148764,0.0278,0.3303,0.0270,0.333
0.158878,0.0277,0.3290,0.0270,0.331
0.169102,0.0278,0.3285,0.0270,0.331
0.179025,0.0278,0.3288,0.0272,0.331
0.189532,0.0280,0.3297,0.0273,0.332
0.199554,0.0281,0.3309,0.0275,0.333
0.209612,0.0282,0.3322,0.0278,0.335
0.220852,0.0283,0.3333,0.0280,0.336
0.229991,0.0284,0.3341,0.0283,0.337
0.247252,0.0284,0.3348,0.0286,0.337
0.250188,0.0285,0.3354,0.0289,0.338
0.260228,0.0285,0.3359,0.0292,0.338
0.270727,0.0286,0.3363,0.0295,0.339
0.280438,0.0286,0.3365,0.0299,0.339
0.290607,0.0286,0.3366,0.0302,0.339
0.300749,0.0287,0.3367,0.0306,0.339
0.310892,0.0288,0.3368,0.0310,0.339
0.320938,0.0289,0.3371,0.0314,0.340
0.331323,0.0290,0.3374,0.0318,0.340
0.347466,0.0292,0.3378,0.0323,0.341
0.351450,0.0293,0.3383,0.0327,0.341
0.361575,0.0296,0.3389,0.0332,0.342
0.371928,0.0298,0.3396,0.0337,0.343
0.381913,0.0301,0.3403,0.0343,0.343
0.391932,0.0304,0.3412,0.0348,0.344
0.402078,0.0307,0.3422,0.0354,0.345
0.412355,0.0311,0.3434,0.0360,0.347
0.422571,0.0315,0.3448,0.0366,0.348
0.432587,0.0319,0.3464,0.0372,0.350
0.447026,0.0323,0.3479,0.0378,0.351
0.453556,0.0327,0.3493,0.0384,0.353
0.463185,0.0331,0.3505,0.0390,0.354
0.472844,0.0334,0.3518,0.0395,0.356
